  Time                 , V(R1:1)              , V(U2:OUT)            
  6.000103450431e-01  ,0.000000000000e+00  ,-1.500727719207e+00  
  6.000115249290e-01  ,0.000000000000e+00  ,-1.504605895339e+00  
  6.000138847007e-01  ,0.000000000000e+00  ,-1.507379721932e+00  
  6.000169295920e-01  ,0.000000000000e+00  ,-1.507464618400e+00  
  6.000217383994e-01  ,0.000000000000e+00  ,-1.506458742478e+00  
  6.000285224570e-01  ,0.000000000000e+00  ,-1.504922586851e+00  
  6.000420905723e-01  ,0.000000000000e+00  ,-1.501883848856e+00  
  6.000692268027e-01  ,0.000000000000e+00  ,-1.495805961193e+00  
  6.001234992637e-01  ,0.000000000000e+00  ,-1.483708323961e+00  
  6.002320441855e-01  ,0.000000000000e+00  ,-1.459701674113e+00  
  6.004491340293e-01  ,0.000000000000e+00  ,-1.412468619283e+00  
  6.008833137168e-01  ,0.000000000000e+00  ,-1.321007758714e+00  
  6.017516730918e-01  ,0.000000000000e+00  ,-1.149512569140e+00  
  6.034883918418e-01  ,0.000000000000e+00  ,-8.476335643413e-01  
  6.069618293418e-01  ,0.000000000000e+00  ,-3.779255973691e-01  
  6.125071418418e-01  ,0.000000000000e+00  ,1.201817686072e-01  
  6.181524543418e-01  ,0.000000000000e+00  ,3.927039122434e-01  
  6.259743293418e-01  ,0.000000000000e+00  ,5.874396005184e-01  
  6.338337043418e-01  ,0.000000000000e+00  ,6.728896410739e-01  
  6.480602668418e-01  ,0.000000000000e+00  ,7.276056088136e-01  
  6.633180793418e-01  ,0.000000000000e+00  ,7.370173007900e-01  
  6.921524543418e-01  ,0.000000000000e+00  ,7.383517812263e-01  
  7.290149543418e-01  ,0.000000000000e+00  ,7.374463587183e-01  
  7.690149543418e-01  ,0.000000000000e+00  ,7.369522747747e-01  
  8.090149543418e-01  ,0.000000000000e+00  ,7.363152854784e-01  
  8.490149543418e-01  ,0.000000000000e+00  ,7.357259411803e-01  
  8.890149543418e-01  ,0.000000000000e+00  ,7.351207143350e-01  
  9.000000100040e-01  ,2.000011268764e-04  ,7.358423692005e-01  
  9.000000110036e-01  ,5.017999907130e-02  ,7.358423693774e-01  
  9.000000130030e-01  ,1.501481662016e-01  ,7.358423697909e-01  
  9.000000170017e-01  ,3.500844949111e-01  ,7.358423697361e-01  
  9.000000200040e-01  ,5.000000000000e-01  ,7.358423676711e-01  
  9.000000208037e-01  ,5.000000000000e-01  ,7.358423662648e-01  
  9.000000224032e-01  ,5.000000000000e-01  ,7.358423623781e-01  
  9.000000256021e-01  ,5.000000000000e-01  ,7.358423454966e-01  
  9.000000319999e-01  ,5.000000000000e-01  ,7.358422453923e-01  
  9.000000447955e-01  ,5.000000000000e-01  ,7.358415637252e-01  
  9.000000703868e-01  ,5.000000000000e-01  ,7.358391092294e-01  
  9.000001215693e-01  ,5.000000000000e-01  ,7.359063412751e-01  
  9.000001926777e-01  ,5.000000000000e-01  ,7.367383145117e-01  
  9.000002780077e-01  ,5.000000000000e-01  ,7.406668456709e-01  
  9.000004486677e-01  ,5.000000000000e-01  ,7.677186289020e-01  
  9.000007027742e-01  ,5.000000000000e-01  ,8.683112403236e-01  
  9.000010207292e-01  ,5.000000000000e-01  ,1.076864969916e+00  
  9.000015129205e-01  ,5.000000000000e-01  ,1.500369341104e+00  
